STORE_TYPE,STORE_NAME,ADDRESS_LINE1,CITY,STATE,ZIP,longitude,latitude,NBHD_NAME
Small Grocery Store,Mondo Market,3350 Brighton Blvd,Denver,CO,80216,-104.979796,39.76874,Five Points
Supermarket,Safeway,757 E 20th Ave,Denver,CO,80205,-104.977536,39.748966,Five Points
Specialty Food Store,Amerigo Delicatus,2449 LARIMER ST,Denver,CO,,-104.987022,39.757512,Five Points
Specialty Food Store,Larimer St Market,2063 Larimer St,Denver,CO,80205,-104.991637,39.753889,Five Points
Specialty Food Store,Meathead,3350 N BRIGHTON BLVD,Denver,CO,,-104.979796,39.76874,Five Points
Specialty Food Store,Tres Rios Agricultural Co-Op,214 Denargo Market,Denver,CO,80216,-104.989948,39.761875,Five Points
Convenience Store,Holly Food Mart,5538 E 33RD AVE,Denver,CO,,-104.923317,39.763644,Northeast Park Hill
Convenience Store With Gas,Conoco Mile High,4140 N Grape St,Denver,CO,,-104.924328,39.774412,Northeast Park Hill
Convenience Store With Gas,Diamond Shamrock/Corner Store,3490 N COLORADO BLVD,Denver,CO,,-104.94018,39.765312,Northeast Park Hill
Convenience Store With Gas,Malmart #1,3400 N COLORADO BLVD,Denver,CO,,-104.940173,39.764784,Northeast Park Hill
Small Grocery Store,Mountain Fresh Market,3885 Forest St,Denver,CO,80207,-104.927164,39.770788,Northeast Park Hill
Convenience Store,Fairfax Market,2835 Fairfax St,Denver,CO,80207,-104.928412,39.757228,North Park Hill
Dollar Store,Family Dollar,2848 Colorado Blvd,Denver,CO,80207,-104.940219,39.757334,North Park Hill
Small Grocery Store,Spinelli,4621 E 23RD AVE,Denver,CO,,-104.933304,39.751181,North Park Hill
Convenience Store,Oneida Food Mart,2201 N ONEIDA ST,Denver,CO,,-104.908546,39.750418,South Park Hill
Convenience Store With Gas,7-Eleven,1580 N COLORADO BLVD,Denver,CO,,-104.940124,39.741161,South Park Hill
Convenience Store With Gas,Diamond Shamrock,5455 E COLFAX AVE,Denver,CO,,-104.923913,39.740477,South Park Hill
Convenience Store With Gas,East Colfax BP,1515 N QUEBEC ST,Denver,CO,,-104.903772,39.7405,South Park Hill
Convenience Store With Gas,Twin Star Energy,1504 N COLORADO BLVD,Denver,CO,,-104.939843,39.740685,South Park Hill
Dollar Store,Dollar Tree,4923 E Colfax Ave,Denver,CO,80220,-104.930388,39.740659,South Park Hill
Specialty Food Store,Ethiopian Culture Mesob Market,1510 KEARNEY ST,Denver,CO,,-104.91736,39.7406,South Park Hill
Convenience Store,7-Eleven,7675 E COLFAX AVE,Denver,CO,,-104.899093,39.740476,East Colfax
Convenience Store,Grocery Store,8105 E Colfax Ave,Denver,CO,80220,-104.893728,39.740323,East Colfax
Convenience Store With Gas,East Colfax Sinclair,8275 E COLFAX AVE,Denver,CO,,-104.892063,39.740451,East Colfax
Convenience Store With Gas,7-Eleven,8755 E Montview Blvd,Denver,CO,,-104.886451,39.747738,Stapleton
Convenience Store With Gas,7-Eleven,3992 N Havana St,Denver,CO,,-104.865153,39.77248,Stapleton
Convenience Store With Gas,Conoco,3895 N PEORIA ST,Denver,CO,,-104.847512,39.770745,Stapleton
Convenience Store With Gas,Diamond Shamrock,3860 N PEORIA ST,Denver,CO,,-104.846578,39.770191,Stapleton
Pharmacy,Walgreen,7311 E 29TH DR,Denver,CO,,-104.902524,39.759686,Stapleton
Supercenter,Target,7930 Northfield Blvd,Denver,CO,80238,-104.894589,39.78544,Stapleton
Supermarket,King Soopers,2810 Quebec St,Denver,CO,80207,-104.901847,39.7566,Stapleton
Specialty Food Store,Euro Cafe and Market,8270 E NORTHFIELD BLVD,Denver,CO,,-104.892648,39.779735,Stapleton
Warehouse Club Store,Sams Club,7805 E 35th Ave,Denver,CO,80238,-104.898098,39.76627,Stapleton
Convenience Store,7-Eleven,4701 N PEORIA ST,Denver,CO,,-104.847803,39.783106,Montbello
Convenience Store With Gas,7-Eleven,4500 N PEORIA ST,Denver,CO,,-104.846229,39.778576,Montbello
Convenience Store With Gas,7-Eleven,12880 E ALBROOK DR,Denver,CO,,-104.842412,39.780539,Montbello
Convenience Store With Gas,Conoco,4495 N PEORIA ST,Denver,CO,,-104.84759,39.777675,Montbello
Convenience Store With Gas,Shell,4650 N PEORIA ST,Denver,CO,,-104.846568,39.78075,Montbello
Dollar Store,Family Dollar,4701 Peoria St # 123,Denver,CO,80239,-104.848191,39.782854,Montbello
Superette,Chihuahua Carniceria,4660 Peoria St,Denver,CO,,-104.84659365,39.78104095,Montbello
Convenience Store With Gas,7-Eleven,4709 N Tower Rd,Denver,CO,,-104.77271,39.781967,Gateway - Green Valley Ranch
Convenience Store With Gas,Circle K,4570 N CHAMBERS RD,Denver,CO,,-104.809036,39.775507,Gateway - Green Valley Ranch
Convenience Store With Gas,Conoco/Circle K,4400 N CHAMBERS RD,Denver,CO,,-104.808959,39.774682,Gateway - Green Valley Ranch
Dollar Store,Family Dollar,4775 Yampa St,Denver,CO,80249,-104.774828,39.783079,Gateway - Green Valley Ranch
Pharmacy,Walgreen,18550 GREEN VALLEY RANCH BLVD,Denver,CO,,-104.770683,39.783433,Gateway - Green Valley Ranch
Supermarket,King Soopers,18605 Green Valley Ranch,Denver,CO,80249,-104.770029,39.784882,Gateway - Green Valley Ranch
Convenience Store,Vertical Mile Market,8500 PENA BLVD,Denver,CO,,-104.674044,39.851925,DIA
Convenience Store With Gas,7-Eleven,7080 N Tower Rd,Denver,CO,,-104.771108,39.825055,DIA
Convenience Store With Gas,Conoco,7680 PENA BLVD,Denver,CO,,-104.720158,39.836043,DIA
Convenience Store With Gas,Chambers Gas & Wash,5103 N Chambers Rd,Denver,CO,,-104.810793,39.784306,Montbello
Convenience Store With Gas,7-Eleven,1000 N. Federal Blvd.,Denver,CO,,-105.024629,39.733242,Sun Valley
Convenience Store,7-Eleven,5090 N Federal Blvd,Denver,CO,,-105.024785,39.78896,Chaffee Park
Convenience Store With Gas,Bradley Petroleum,5000 N FEDERAL BLVD,Denver,CO,,-105.02479,39.787728,Chaffee Park
Convenience Store With Gas,Tanay @ Conoco,4880 N FEDERAL BLVD,Denver,CO,,-105.024623,39.785249,Chaffee Park
Convenience Store,Florida Avenue Market,4393 W Florida Ave,Denver,CO,80219,-105.043388,39.689749,Mar Lee
Convenience Store With Gas,7-Eleven,1499 S FEDERAL BLVD,Denver,CO,,-105.025414,39.689812,Mar Lee
Dollar Store,Dollar Depot,4263 W Florida Ave,Denver,CO,80219,-105.042022,39.690468,Mar Lee
Dollar Store,Dollar Tree,4385 W Florida Ave,Denver,CO,80219,-105.044096,39.690566,Mar Lee
Small Grocery Store,Ana's Meat Market,1411 S Federal Blvd,Denver,CO,80219,-105.026008,39.690768,Mar Lee
Small Grocery Store,Leever's / Save A Lot,4255 W Florida Ave,Denver,CO,80219,-105.042829,39.690414,Mar Lee
Supermarket,King Soopers,5125 W Florida Ave,Denver,CO,80219,-105.051947,39.690469,Mar Lee
